# NACA 0012 - polaire de REFERENCE (verite-terrain V&V)
# Source : NeuralFoil 0.3.2 (modele 'xlarge', entraine sur XFOIL) via AeroSandbox
# Conditions : Re = 400000, Mach = 0, Ncrit = 9 (defaut). Profil analytique NACA 0012.
# /!\ Substitut de XFOIL : NI experimental NI Fluent. Details : data/SOURCES.md
# Regenerer : python src/generate_reference.py
alpha_deg,Cl_ref,Cd_ref,confidence
0.0,-0.0,0.00676,0.979
1.0,0.1036,0.00692,0.977
2.0,0.2183,0.00753,0.971
3.0,0.3559,0.00854,0.968
4.0,0.5046,0.00966,0.968
5.0,0.6233,0.01105,0.971
6.0,0.7158,0.01251,0.977
7.0,0.7998,0.01412,0.985
8.0,0.8814,0.01586,0.989
9.0,0.9601,0.01806,0.991
10.0,1.0354,0.02076,0.991
11.0,1.1053,0.024,0.988
12.0,1.1647,0.0279,0.982
13.0,1.2076,0.03292,0.973
14.0,1.2267,0.04021,0.962
15.0,1.2186,0.05157,0.956
