alpha_deg,Re,Cl,Cd
-6.0,100000.0,-0.68639,0.019721
-5.5,100000.0,-0.64852,0.018198
-5.0,100000.0,-0.61052,0.016873
-4.5,100000.0,-0.57165,0.015853
-4.0,100000.0,-0.53126,0.015246
-3.5,100000.0,-0.49156,0.014884
-3.0,100000.0,-0.45264,0.014713
-2.5,100000.0,-0.41539,0.014604
-2.0,100000.0,-0.38134,0.014651
-1.5,100000.0,-0.33782,0.015063
-1.0,100000.0,-0.25496,0.015797
-0.5,100000.0,-0.13661,0.016444
0.0,100000.0,0.0,0.016678
0.5,100000.0,0.13661,0.016444
1.0,100000.0,0.25496,0.015797
1.5,100000.0,0.33782,0.015063
2.0,100000.0,0.38134,0.014651
2.5,100000.0,0.41539,0.014604
3.0,100000.0,0.45264,0.014713
3.5,100000.0,0.49156,0.014884
4.0,100000.0,0.53126,0.015246
4.5,100000.0,0.57165,0.015853
5.0,100000.0,0.61052,0.016873
5.5,100000.0,0.64852,0.018198
6.0,100000.0,0.68639,0.019721
6.5,100000.0,0.7249,0.021524
7.0,100000.0,0.76554,0.023601
7.5,100000.0,0.80919,0.025934
8.0,100000.0,0.85446,0.028554
8.5,100000.0,0.89866,0.031477
9.0,100000.0,0.93877,0.034795
9.5,100000.0,0.97174,0.038752
10.0,100000.0,0.99395,0.043761
10.5,100000.0,0.99846,0.050331
11.0,100000.0,0.97516,0.058715
11.5,100000.0,0.87353,0.077141
12.0,100000.0,0.642,0.127422
12.5,100000.0,0.61215,0.14262
13.0,100000.0,0.6278,0.148346
13.5,100000.0,0.63915,0.155529
14.0,100000.0,0.65036,0.162681
14.5,100000.0,0.66226,0.169431
15.0,100000.0,0.67473,0.175823
15.5,100000.0,0.68772,0.181933
16.0,100000.0,0.7012,0.187817
-6.0,150000.0,-0.69265,0.016827
-5.5,150000.0,-0.65462,0.015533
-5.0,150000.0,-0.61611,0.01439
-4.5,150000.0,-0.57643,0.013474
-4.0,150000.0,-0.53588,0.012879
-3.5,150000.0,-0.49565,0.012528
-3.0,150000.0,-0.45591,0.012332
-2.5,150000.0,-0.4121,0.012299
-2.0,150000.0,-0.35857,0.012279
